SID,NAME,ISO_TIME,SEASON
1842298N11080,UNNAMED,1842-10-26 06:00:00,1842
1842298N11080,UNNAMED,1842-10-26 09:00:00,1842
1842298N11080,UNNAMED,1842-10-26 12:00:00,1842
1842298N11080,UNNAMED,1842-10-26 15:00:00,1842
1842298N11080,UNNAMED,1842-10-26 18:00:00,1842
1842298N11080,UNNAMED,1842-10-26 21:00:00,1842
1842298N11080,UNNAMED,1842-10-27 00:00:00,1842
1842298N11080,UNNAMED,1842-10-27 03:00:00,1842
1842298N11080,UNNAMED,1842-10-27 06:00:00,1842
1842298N11080,UNNAMED,1842-10-27 09:00:00,1842
1842298N11080,UNNAMED,1842-10-27 12:00:00,1842
1842298N11080,UNNAMED,1842-10-27 15:00:00,1842
1842298N11080,UNNAMED,1842-10-27 18:00:00,1842
1842298N11080,UNNAMED,1842-10-27 21:00:00,1842
1842298N11080,UNNAMED,1842-10-28 00:00:00,1842
1842298N11080,UNNAMED,1842-10-28 03:00:00,1842
1842298N11080,UNNAMED,1842-10-28 06:00:00,1842
1842298N11080,UNNAMED,1842-10-28 09:00:00,1842
1842298N11080,UNNAMED,1842-10-28 12:00:00,1842
1842298N11080,UNNAMED,1842-10-28 15:00:00,1842
1842298N11080,UNNAMED,1842-10-28 18:00:00,1842
1842298N11080,UNNAMED,1842-10-28 21:00:00,1842
1842298N11080,UNNAMED,1842-10-29 00:00:00,1842
1842298N11080,UNNAMED,1842-10-29 03:00:00,1842
1842298N11080,UNNAMED,1842-10-29 06:00:00,1842
1842298N11080,UNNAMED,1842-10-29 09:00:00,1842
1842298N11080,UNNAMED,1842-10-29 12:00:00,1842
1842298N11080,UNNAMED,1842-10-29 15:00:00,1842
1842298N11080,UNNAMED,1842-10-29 18:00:00,1842
1842298N11080,UNNAMED,1842-10-29 21:00:00,1842
1842298N11080,UNNAMED,1842-10-30 00:00:00,1842
1842298N11080,UNNAMED,1842-10-30 03:00:00,1842
1842298N11080,UNNAMED,1842-10-30 06:00:00,1842
1842298N11080,UNNAMED,1842-10-30 09:00:00,1842
1842298N11080,UNNAMED,1842-10-30 12:00:00,1842
1842298N11080,UNNAMED,1842-10-30 15:00:00,1842
1842298N11080,UNNAMED,1842-10-30 18:00:00,1842
1842298N11080,UNNAMED,1842-10-30 21:00:00,1842
1842298N11080,UNNAMED,1842-10-31 00:00:00,1842
1842298N11080,UNNAMED,1842-10-31 03:00:00,1842
1842298N11080,UNNAMED,1842-10-31 06:00:00,1842
1842298N11080,UNNAMED,1842-10-31 09:00:00,1842
1842298N11080,UNNAMED,1842-10-31 12:00:00,1842
1842298N11080,UNNAMED,1842-10-31 15:00:00,1842
1842298N11080,UNNAMED,1842-10-31 18:00:00,1842
1842298N11080,UNNAMED,1842-10-31 21:00:00,1842
1842298N11080,UNNAMED,1842-11-01 00:00:00,1842
